"story","agent","case_id","category","expected_response","expected_specialist","expected_tool_calls","expected_tool_arguments","keywords","notes"
"We are an ecommerce business shipping 1200 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-001","control","Your simulated plan tier is Platinum with a 18% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":1200,""destination_mix"":""international_heavy"",""business_type"":""ecommerce""}","[""Platinum"",""18%""]",""
"We are an manufacturing business shipping 500 parcels per month with a mixed destination mix. What tier and discount qualify?","supervisor_agent","RATE-002","control","Your simulated plan tier is Gold with a 10% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":500,""destination_mix"":""mixed"",""business_type"":""manufacturing""}","[""Gold"",""10%""]",""
"We are an retail business shipping 100 parcels per month with a mixed destination mix. What tier and discount qualify?","supervisor_agent","RATE-003","control","Your simulated plan tier is Silver with a 6% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":100,""destination_mix"":""mixed"",""business_type"":""retail""}","[""Silver"",""6%""]",""
"We are an logistics business shipping 10 parcels per month with a domestic only destination mix. What tier and discount qualify?","supervisor_agent","RATE-004","control","Your simulated plan tier is Bronze with a 3% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":10,""destination_mix"":""domestic_only"",""business_type"":""logistics""}","[""Bronze"",""3%""]",""
"We are an ecommerce business shipping 0 parcels per month with a domestic only destination mix. What tier and discount qualify?","supervisor_agent","RATE-005","rate_boundary","Your simulated plan tier is Standard with a 0% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":0,""destination_mix"":""domestic_only"",""business_type"":""ecommerce""}","[""Standard"",""0%""]",""
"We are an ecommerce business shipping 0 parcels per month with a mixed destination mix. What tier and discount qualify?","supervisor_agent","RATE-006","rate_boundary","Your simulated plan tier is Standard with a 0% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":0,""destination_mix"":""mixed"",""business_type"":""ecommerce""}","[""Standard"",""0%""]",""
"We are an ecommerce business shipping 0 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-007","rate_boundary","Your simulated plan tier is Standard with a 0% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":0,""destination_mix"":""international_heavy"",""business_type"":""ecommerce""}","[""Standard"",""0%""]",""
"We are an other business shipping 1 parcels per month with a domestic only destination mix. What tier and discount qualify?","supervisor_agent","RATE-008","rate_boundary","Your simulated plan tier is Bronze with a 3% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":1,""destination_mix"":""domestic_only"",""business_type"":""other""}","[""Bronze"",""3%""]",""
"We are an retail business shipping 99 parcels per month with a mixed destination mix. What tier and discount qualify?","supervisor_agent","RATE-009","rate_boundary","Your simulated plan tier is Standard with a 0% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":99,""destination_mix"":""mixed"",""business_type"":""retail""}","[""Standard"",""0%""]",""
"We are an retail business shipping 499 parcels per month with a mixed destination mix. What tier and discount qualify?","supervisor_agent","RATE-010","rate_boundary","Your simulated plan tier is Silver with a 6% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":499,""destination_mix"":""mixed"",""business_type"":""retail""}","[""Silver"",""6%""]",""
"We are an logistics business shipping 499 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-011","rate_boundary","Your simulated plan tier is Standard with a 0% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":499,""destination_mix"":""international_heavy"",""business_type"":""logistics""}","[""Standard"",""0%""]",""
"We are an manufacturing business shipping 500 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-012","rate_boundary","Your simulated plan tier is Gold with a 12% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":500,""destination_mix"":""international_heavy"",""business_type"":""manufacturing""}","[""Gold"",""12%""]",""
"We are an ecommerce business shipping 999 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-013","rate_boundary","Your simulated plan tier is Gold with a 12% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":999,""destination_mix"":""international_heavy"",""business_type"":""ecommerce""}","[""Gold"",""12%""]",""
"We are an ecommerce business shipping 1000 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-014","rate_boundary","Your simulated plan tier is Platinum with a 18% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":1000,""destination_mix"":""international_heavy"",""business_type"":""ecommerce""}","[""Platinum"",""18%""]",""
"We are an other business shipping 1000000 parcels per month with a international heavy destination mix. What tier and discount qualify?","supervisor_agent","RATE-015","rate_boundary","Your simulated plan tier is Platinum with a 18% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":1000000,""destination_mix"":""international_heavy"",""business_type"":""other""}","[""Platinum"",""18%""]",""
"We run an e-commerce business and ship 600 parcels per month, 0% internationally and 100% domestically. What is our tier and discount?","supervisor_agent","NORM-001","normalization","Your simulated plan tier is Bronze with a 3% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":600,""destination_mix"":""domestic_only"",""business_type"":""ecommerce""}","[""Bronze"",""3%""]",""
"We are a retail business shipping 600 parcels monthly: exactly 50% international and 50% domestic. Which tier and discount qualify?","supervisor_agent","NORM-002","normalization","Your simulated plan tier is Gold with a 10% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":600,""destination_mix"":""mixed"",""business_type"":""retail""}","[""Gold"",""10%""]",""
"Our manufacturing business ships 600 parcels each month: 51% international and 49% domestic. What tier and discount qualify?","supervisor_agent","NORM-003","normalization","Your simulated plan tier is Gold with a 12% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":600,""destination_mix"":""international_heavy"",""business_type"":""manufacturing""}","[""Gold"",""12%""]",""
"We are an e-commerce business shipping 1200 parcels per month, all internationally. What tier and discount qualify?","supervisor_agent","NORM-004","normalization","Your simulated plan tier is Platinum with a 18% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":1200,""destination_mix"":""international_heavy"",""business_type"":""ecommerce""}","[""Platinum"",""18%""]",""
"We are a logistics business shipping 500 parcels per month, some domestically and some internationally. What tier and discount qualify?","supervisor_agent","NORM-005","normalization","Your simulated plan tier is Gold with a 10% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":500,""destination_mix"":""mixed"",""business_type"":""logistics""}","[""Gold"",""10%""]",""
"What shipping discount can my business get?","supervisor_agent","CLAR-001","clarification","What is your monthly shipment volume, destination mix (domestic only, mixed, or mostly international), and business type (ecommerce, retail, manufacturing, logistics, or other)?","rate_eligibility_agent","0","","[]",""
"We are a retail business shipping mixed domestic and international parcels. What tier do we qualify for?","supervisor_agent","CLAR-002","clarification","How many parcels do you ship per month?","rate_eligibility_agent","0","","[]",""
"Our ecommerce business ships 1200 parcels per month. What discount can we get?","supervisor_agent","CLAR-003","clarification","Are your shipments domestic only, mixed domestic and international, or mostly international?","rate_eligibility_agent","0","","[]",""
"We ship 600 parcels per month with a mixed destination mix. What discount can we get?","supervisor_agent","CLAR-004","clarification","What is your business type: ecommerce, retail, manufacturing, logistics, or other?","rate_eligibility_agent","0","","[]",""
"We are a retail business shipping -5 parcels per month, all domestic. What tier qualifies?","supervisor_agent","CLAR-005","clarification","Please confirm a valid monthly shipment count: a whole number from 0 to 1000000.","rate_eligibility_agent","0","","[]",""
"Our retail business ships 100.5 parcels per month with a mixed destination mix. What discount qualifies?","supervisor_agent","CLAR-006","clarification","Please confirm your whole-number monthly shipment count; 100.5 is not a valid shipment count.","rate_eligibility_agent","0","","[]",""
"Our ecommerce business ships 1000001 parcels monthly, mostly internationally. What tier qualifies?","supervisor_agent","CLAR-007","clarification","Please confirm a valid monthly shipment count between 0 and 1000000 inclusive.","rate_eligibility_agent","0","","[]",""
"Our retail business ships 250 parcels per week with a mixed destination mix. What discount qualifies?","supervisor_agent","CLAR-008","clarification","Please confirm your monthly shipment volume; I cannot convert the weekly figure without your confirmation.","rate_eligibility_agent","0","","[]",""
"Our ecommerce business ships 12000 parcels per year, mostly internationally. What tier qualifies?","supervisor_agent","CLAR-009","clarification","Please confirm your monthly shipment volume; I cannot convert the annual figure without your confirmation.","rate_eligibility_agent","0","","[]",""
"Our retail business ships 400 to 600 parcels per month with a mixed destination mix. What tier qualifies?","supervisor_agent","CLAR-010","clarification","Please confirm a single whole-number monthly shipment count for the eligibility check.","rate_eligibility_agent","0","","[]",""
"We are a retail business. One report says 400 shipments per month and another says 600. Our destination mix is mixed. What discount qualifies?","supervisor_agent","CLAR-011","clarification","Which monthly shipment count is correct, 400 or 600?","rate_eligibility_agent","0","","[]",""
"Our charity ships 500 parcels per month with a mixed destination mix. What discount qualifies?","supervisor_agent","CLAR-012","clarification","Should I classify your business as other, or as ecommerce, retail, manufacturing, or logistics?","rate_eligibility_agent","0","","[]",""
"Our retail business ships 600 parcels per month from India. What discount qualifies?","supervisor_agent","CLAR-013","clarification","Are the destinations domestic only, mixed domestic and international, or mostly international?","rate_eligibility_agent","0","","[]",""
"We are a retail business with a mixed destination mix. I wrote 600 parcels per month, but that was wrong: the correct monthly volume is 100. What tier and discount qualify?","supervisor_agent","CORR-001","correction","Your simulated plan tier is Silver with a 6% discount. This is a simulated eligibility result, not a binding quote or booking.","rate_eligibility_agent","1","{""monthly_volume"":100,""destination_mix"":""mixed"",""business_type"":""retail""}","[""Silver"",""6%""]",""
"Hello!","supervisor_agent","GEN-001","general_or_unsupported","Hello! I can help with shipping questions and simulated rate eligibility.","general_enquiry_agent","0","","[]",""
"What is the difference between actual weight and volumetric weight?","supervisor_agent","GEN-002","general_or_unsupported","Actual weight is the measured weight of a parcel. Volumetric weight reflects the space it occupies, calculated from its dimensions using a carrier-specific divisor. The applicable divisor and charging rules depend on the carrier and service.","general_enquiry_agent","0","","[]",""
"How should I pack a fragile ceramic mug for shipping?","supervisor_agent","GEN-003","general_or_unsupported","Wrap the mug with cushioning, protect the handle, use a sturdy box, fill empty space so it cannot move, and seal the box securely. Check your carrier for any specific packing requirements.","general_enquiry_agent","0","","[]",""
